MonsterRocket,Acción,60468,77
SocialSocial,MOBA,38662,98
SocialSocial,JcE,61224,87
HunterRivas,Coop,721,17
SocialShadow,Rogelike,67014,50
AgeRocket,MOBA,67167,40
RivasAge,Acción,31036,4
LegendsHunter,RPG,37301,92
MonsterLeague,Acción,68938,91
SocialAge,Roguelite,43026,13
LegendsAge,MOBA,23578,59
SocialLeague,RPG,20874,11
AgeAge,Rogelike,21365,92
RivasLegends,Rogelike,42739,47
RivasRocket,Tactial Shooter,67512,94
HunterLeague,MOBA,1488,64
LegendsLegends,JcE,35295,26
ShadowLeague,Roguelite,15970,24
LegendsLeague,MOBA,12498,13
AgeLegends,Coop,9800,83
RocketSocial,MOBA,39970,73
LegendsShadow,JcE,52364,54
MonsterHunter,JcE,62973,73
AgeRocket,Rogelike,9374,24
RocketMonster,Tactial Shooter,16998,77
ShadowHunter,JcE,63779,14
LeagueLeague,Tactial Shooter,29538,11
SocialLegends,Acción,10109,17
AgeHunter,Rogelike,17781,93
ShadowShadow,Acción,68886,7
MonsterShadow,JcE,11239,80
LeagueRocket,Rogelike,46298,25
RocketShadow,Tactial Shooter,58345,91
LeagueLeague,MOBA,19756,5
SocialSocial,Coop,62606,91
RivasAge,Coop,50775,82
HunterRocket,Roguelite,44115,37
LeagueShadow,MOBA,64451,94
LegendsRivas,Tactial Shooter,47475,14
LeagueAge,Roguelite,53406,78
ShadowRocket,JcE,43567,53
RivasLeague,Rogelike,53977,59
LeagueLegends,JcE,20980,2
AgeHunter,Roguelite,1547,73
RivasRivas,Acción,43290,98
AgeLeague,MOBA,38298,88
MonsterLegends,Roguelite,39599,36
RocketHunter,JcE,57751,78
MonsterShadow,Rogelike,12483,72
ShadowLegends,Rogelike,48802,82
MonsterShadow,JcE,51778,55
MonsterSocial,Tactial Shooter,53779,24
HunterMonster,JcE,15348,27
SocialAge,MOBA,6547,94
SocialAge,Roguelite,48660,72
AgeMonster,Acción,26513,79
AgeHunter,Roguelite,64300,29
MonsterRocket,JcE,5319,61
SocialHunter,JcE,53623,61
